Företagsnamn,Organisationsnummer,Telefonnummer,Adress
"Ridsport de NoR","661104-XXXXRegistrerad verksamhet","","c/o Karåsens Gård, Karåsen 403, 691 92 Granbergsdal"
"RIDSPORT TRE HÄSTAR","481020-XXXXRegistrerad verksamhet","","Oxhagens Rosenhill 6, 442 90 Kungälv"
"Stormsund Ridsport AB","556611-6637","0224-605 75","Nöbbele Kärr 11, 355 74 Värends Nöbbele"
"Stall Persson Ridsport","750719-XXXXRegistrerad verksamhet","","Båberg 158, 462 93 Vänersborg"
"Valbo Ridsport Handelsbolag","916585-2964","","Bruksgatan 5, 818 32 Valbo"
"SMÅLANDS RIDSPORTFÖRBUND","827500-9218","036-34 54 91","S:T Göransvägen 31, 554 54 Jönköping"
"GOTLANDS RIDSPORTFÖRBUND","834001-0985","0498-20 70 69","Visby"
"BLEKINGE RIDSPORTFÖRBUND","835001-0008","","Visängsvägen 10, 372 38 Ronneby"
"DALARNAS RIDSPORTFÖRBUND","883201-1533","","Industriområdet 38, 785 42 Mockfjärd"
"VÄRMLANDS RIDSPORTFÖRBUND","873201-7028","054-14 62 32","Karlstad"
"SÖDERMANLANDS RIDSPORTFÖRBUND","818000-9477","0220-456 22","c/o RIDSPORTENS HUS, Herrskogsvägen, 734 94 Strömsholm"
"VÄSTERBOTTENS RIDSPORTFÖRBUND","894701-6476","0910-268 80","Mullbergsvägen 11 b, 931 37 Skellefteå"
"VÄSTERGÖTLANDS RIDSPORTFÖRBUND","864000-7129","0520-52 52 70","Brättevägen 7 c, 462 35 Vänersborg"
"Anna Hansson Ridsport","670731-XXXXRegistrerad verksamhet","","c/o Anna Hansson, Gamla Movägen 1a, 331 37 Värnamo"
"Jansons Ridsport Handelsbolag","969795-7398","","Furunäsvägen 8, 673 32 Charlottenberg"
"KRISTOFFERSSON RIDSPORT RYTTARFÖRENING","802554-8549","","c/o CLARA NILSSON, Jakobsgatan 15 b Lgh 1202, 671 40 Arvika"
"JUMP CLUB RIDSPORTFÖRENING","802443-3586","","c/o HENRIK GRINDBAUM, Swedenborgsgatan 7, 118 48 Stockholm"
"Stuteri Kaizcenn - Ridsport&Avel","570905-XXXXRegistrerad verksamhet","","c/o Lena Gävert, Hinderstorp 202, 716 94 Mullhyttan"
"FE häst- & ridsportkonsult","870817-XXXXRegistrerad verksamhet","","c/o Jacobsohn, Byggmästarvägen 34, 168 32 Bromma"
"SH Foder & Ridsport","671211-XXXXRegistrerad verksamhet","","Öna 850, 462 96 Frändefors"
"Nelanders trav & ridsport","780705-XXXXRegistrerad verksamhet","","c/o Joy Nelander, Igelstaslingan 1h (Lgh1105), 761 74 Norrtälje"
"Tygel & Töm ridsportbutik","670729-XXXXRegistrerad verksamhet","","Röste 24 63, 821 94 Bollnäs"
"DRESSAGE CLUB RIDSPORT FÖRENING","802464-1253","","c/o DAHL, Idunvägen 35, 136 42 Handen"
"Kristoffersson Ridsport Breviks Gård","850314-XXXXRegistrerad verksamhet","","Breviks Gård 1, 673 97 Åmotfors"
"ÖREBRO LÄNS RIDSPORTFÖRBUND","975000-9160","019-17 55 97","Karlsgatan 28-30, 703 41 Örebro"
"STOCKHOLMS LÄNS RIDSPORTFÖRBUND","802004-4239","","Kavallerivägen 24, 174 58 Sundbyberg"
"Viktoria Kolm Ridsport och fysioterapi","760503-XXXXRegistrerad verksamhet","","c/o Kolm, Lövhagsvägen 13, 186 94 Vallentuna"
"DAHRVE TRAV & RIDSPORT HB","934000-2394","0498-26 60 97","Träkumla Tjängdarve 139, 621 94 Visby"
"Nynäs Gårds Ridsport och Jakt","500409-XXXXRegistrerad verksamhet","","Nynäs Gård, 749 48 Enköping"
"Charlies Ridsport i Sverige AB","559489-5152","","Bangårdsgatan 23, 553 03 Jönköping"
"HFJ Ridsport för Hästens Bästa","531127-XXXXRegistrerad verksamhet","","Aspövägen 100, 125 40 Älvsjö"
"Sporren, Häst- & Ridsport Aktiebolag","556449-4341","018-10 12 02","Kungsgatan 70 e, 753 18 Uppsala"
"Hoppla Ridsport i Sverige Handelsbolag","969685-5320","08-556 350 80","Mästarvägen 22, 141 73 Segeltorp"
"Ridsport & Fritidsbutiken i Norrköping","641010-XXXXRegistrerad verksamhet","","Stora Ljunga, 605 91 Norrköping"
"Midport Scandinavia AB","556658-3505","08-562 999 10","Karlavägen 112, 115 26 Stockholm"
"GÖTEBORG O BOHUS LÄNS RIDSPORTFÖRBUND","857203-1840","031-726 61 21","Nedre Kaserngården 5, 415 27 Göteborg"
"STIFTELSEN FÖR FRÄMJANDET AV RIDSPORT I HBG","843000-7560","","c/o HAMPUS HEDIN, Hudiksvallsgatan 39, 252 51 Helsingborg"
"Frisek Fria Ridsportbutiker i Samverkan Ekonomisk förening","769618-6340","","c/o Glada Hästen, Tallmätargatan 6, 721 34 Västerås"
"Frisport AB","559038-6214","","Västra Industrigatan 15, 782 33 Malung"
"I-Sport Retail 80 AB","556867-0656","021-30 21 40","Domkraftsgatan 6, 721 38 Västerås"
"Åre Skidsport Aktiebolag","556302-6409","","Torget, 837 52 Åre"
"Frisek Fria Ridsportbutiker i Samverkan Ekonomisk förening","769618-6340","","c/o Glada Hästen, Tallmätargatan 6, 721 34 Västerås"
"Frisport AB","559038-6214","","Västra Industrigatan 15, 782 33 Malung"
"I-Sport Retail 80 AB","556867-0656","021-30 21 40","Domkraftsgatan 6, 721 38 Västerås"
"Åre Skidsport Aktiebolag","556302-6409","","Torget, 837 52 Åre"
"I-Sport Retail 62 AB","556867-1084","0243-103 00","Norra Backagatan 3 e, 781 70 Borlänge"
"Sydsport på Emporia AB","556939-1179","","Hyllie Stationsväg 22, 215 32 Malmö"
"I-Sport Retail 44 AB","556867-4633","0152-134 11","Solberga Köpcenter, 645 47 Strängnäs"
"R-Sport Sweden AB","559022-7731","","Nisshyttevägen 2, 783 90 Säter"
"Rittforsridsport AB","559036-0169","","Gåre 520, 473 91 Henån"
"I-Sport Retail 14 AB","556867-0128","0455-121 51","Verkövägen 7-9, 371 62 Lyckeby"
"I-Sport Retail 119 AB","556867-1530","0510-206 95","Mellbygatan 3, 531 31 Lidköping"
"I-Sport Retail 54 AB","556867-0771","","Odenvägen 13, 181 32 Lidingö"
"I-Sport Retail 93 AB","556867-1407","0491-105 67","Västra Torggatan 3, 572 30 Oskarshamn"
"I-Sport Retail 110 AB","556867-1209","0454-842 90","Kungsgatan 34, 374 36 Karlshamn"
"I-Sport Team Kristinehamn AB","556776-2181","0550-193 00","Södra Torget 3, 681 31 Kristinehamn"
"I-Sport Retail 25 AB","556867-0227","0224-105 00","Södra Esplanaden 2, 733 30 Sala"
"I-Sport Retail 61 AB","556867-1126","0410-422 00","Algatan 16, 231 42 Trelleborg"
"I-Sport Retail 59 AB","556867-0706","0372-125 00","Ringvägen 1 a, 341 32 Ljungby"
"I-Sport Retail 71 AB","556867-0763","0921-168 80","Kungsgatan 38, 961 64 Boden"
"I-Sport Retail 73 AB","556867-0755","","Tranås"
"I-Sport Retail 7 AB","556867-0359","0515-71 17 07","Storgatan 22-26, 521 42 Falköping"
"Svensk Bilsport AB","556464-0471","","Bergkällavägen 31 a, 192 79 Sollentuna"
"Ridersport in Sweden AB","556953-6955","","Tomtaholmsvägen 1, 269 41 Östra Karup"
"I-Sport Retail 46 AB","556867-4658","","Västra Kyrkallén 7, 982 31 Gällivare"
"I-Sport Retail 77 AB","556867-1514","","c/o Intersport, Norrskensvägen 4, 953 36 Haparanda"
